Unknown,Unknown,Unknown
Acura,MDX,Car
Alfa Romeo,Giulietta,Car
Audi,100,Car
Audi,80,Car
Audi,A1,Car
Audi,A3,Car
Audi,A4,Car
Audi,A5,Car
Audi,A6,Car
Audi,A7,Car
Audi,A8,Car
Audi,Q3,Car
Audi,Q5,Car
Audi,Q7,Car
Audi,R8,Car
Audi,RS6,Car
Audi,S5,Car
Audi,S8,Car
Audi,TT,Car
BAW,Fenix,Truck
BAZ,A079 Etalon,Bus
BMW,1 Series,Car
BMW,3 Series,Car
BMW,4 Series,Car
BMW,5 Series,Car
BMW,6 Series,Car
BMW,7 Series,Car
BMW,X1,Car
BMW,X3,Car
BMW,X4,Car
BMW,X5,Car
BMW,X6,Car
BMW,Z3,Car
BMW,Z4,Car
BYD,F3,Car
Brilliance,V5,Car
Cadillac,CTS,Car
Cadillac,Escalade,Car
Cadillac,SRX,Car
Carrus,Star,Bus
Chery,Amulet A15,Car
Chery,Fora,Car
Chery,Kimo S12,Car
Chery,Tiggo,Car
Chery,Tiggo 5,Car
Chery,Tiggo T11,Car
Chevrolet,Aveo,Car
Chevrolet,Blazer,Car
Chevrolet,Camaro,Car
Chevrolet,Caprice,Car
Chevrolet,Captiva,Car
Chevrolet,Cobalt,Car
Chevrolet,Cruze,Car
Chevrolet,Epica,Car
Chevrolet,Express,Car
Chevrolet,Lacetti,Car
Chevrolet,Lanos,Car
Chevrolet,Niva,Car
Chevrolet,Orlando,Car
Chevrolet,Rezzo,Car
Chevrolet,Spark,Car
Chevrolet,Suburban,Car
Chevrolet,Tahoe,Car
Chevrolet,TrailBlazer,Car
Chrysler,300,Car
Chrysler,300C,Car
Chrysler,Grand Voyager,Car
Chrysler,PT Cruiser,Car
Chrysler,Pacifica,Car
Chrysler,Sebring,Car
Chrysler,Town and Country,Car
Chrysler,Voyager,Car
Citroen,BX,Car
Citroen,Berlingo,Car
Citroen,C1,Car
Citroen,C2,Car
Citroen,C3,Car
Citroen,C3 Picasso,Car
Citroen,C4,Car
Citroen,C4 AirCross,Car
Citroen,C4 Picasso,Car
Citroen,C5,Car
Citroen,C Crosser,Car
Citroen,C Elysee,Car
Citroen,DS3,Car
Citroen,DS4,Car
Citroen,Grand C4 Picasso,Car
Citroen,Jumper,LightCommercialVehicle
Citroen,Jumpy,LightCommercialVehicle
Citroen,Xantia,Car
Citroen,Xsara,Car
Citroen,Xsara Picasso,Car
DAF,95,Truck
DAF,CF,Truck
DAF,XF,Truck
DW Hower,H3,Car
Daewoo,BS106,Bus
Daewoo,Espero,Car
Daewoo,Gentra,Car
Daewoo,Lanos,Car
Daewoo,Leganza,Car
Daewoo,Matiz,Car
Daewoo,Nexia,Car
Daewoo,Nubira,Car
Datsun,mi DO,Car
Datsun,on DO,Car
Dodge,Caliber,Car
Dodge,Caravan,Car
Dodge,Challenger,Car
Dodge,Grand Caravan,Car
Dodge,Ram,Car
Dodge,Stratus,Car
Emgrand,EC7,Car
Emgrand,X7,Car
FAW,Besturn B50,Car
FAW,V5,Car
FIAT,500,Car
FIAT,Albea,Car
FIAT,Bravo,Car
FIAT,Doblo,Car
FIAT,Ducato,LightCommercialVehicle
FIAT,Grande Punto,Car
FIAT,Linea,Car
FIAT,Panda,Car
FIAT,Punto,Car
FIAT,Scudo,LightCommercialVehicle
FIAT,Stilo,Car
FIAT,Uno,Car
Ford,C Max,Car
Ford,Cargo,Truck
Ford,EcoSport,Car
Ford,Escape,Car
Ford,Escort,Car
Ford,Expedition,Car
Ford,Explorer,Car
Ford,F 150,Car
Ford,Fiesta,Car
Ford,Focus,Car
Ford,Focus C Max,Car
Ford,Fusion,Car
Ford,Galaxy,Car
Ford,Granada,Car
Ford,Ka,Car
Ford,Kuga,Car
Ford,Maverick,Car
Ford,Mondeo,Car
Ford,Mustang,Car
Ford,Probe,Car
Ford,Ranger,Car
Ford,S Max,Car
Ford,Scorpio,Car
Ford,Sierra,Car
Ford,Taunus,Car
Ford,Taurus,Car
Ford,Tourneo Connect,Car
Ford,Transit,LightCommercialVehicle
Ford,Transit Connect,Car
Foton,Auman,Truck
Freightliner,Century Class,Truck
Freightliner,Columbia,Truck
GAZ,172200 Volga,Car
GAZ,1724 Gazel,LightCommercialVehicle
GAZ,24 Volga,Car
GAZ,27 Gazel,LightCommercialVehicle
GAZ,31 Volga,Car
GAZ,3221 Gazel,LightCommercialVehicle
GAZ,3302 Gazel,LightCommercialVehicle
GAZ,3307,Truck
GAZ,3308 Sadko,Truck
GAZ,3309,Truck
GAZ,3310 Valday,LightCommercialVehicle
GAZ,52,Truck
GAZ,53,Truck
GAZ,66,Truck
GAZ,GAZel Biznes,LightCommercialVehicle
GAZ,GAZon Next,LightCommercialVehicle
GAZ,Gazel,LightCommercialVehicle
GAZ,Gazel Next,LightCommercialVehicle
GAZ,SAZ 3507,Truck
GAZ,SAZ 3507,Truck
GAZ,Volga Siber,Car
Geely,CK,Car
Geely,Emgrand EC7,Car
Geely,GC6,Car
Geely,MK,Car
Genesis,G80,Car
GolAZ,5291 Cruise,Bus
Golden Dragon,XML6126,Bus
Golden Dragon,XML6957,Bus
Great Wall,Hover,Car
Great Wall,Hover H3,Car
Great Wall,Hover H5,Car
HUMMER,H2,Car
Higer,A80,Bus
Hino,300 Series,Truck
Hino,500 Series,Truck
Honda,Accord,Car
Honda,Accord Crosstour,Car
Honda,Airwave,Car
Honda,CR V,Car
Honda,Civic,Car
Honda,Civic Ferio,Car
Honda,Element,Car
Honda,HR V,Car
Honda,Integra,Car
Honda,Jazz,Car
Honda,Legend,Car
Honda,Odyssey,Car
Honda,Pilot,Car
Honda,Prelude,Car
Honda,Stepwgn,Car
Honda,Stream,Car
Hyundai,Accent,Car
Hyundai,Aero City,Bus
Hyundai,Avante,Car
Hyundai,County,Bus
Hyundai,Coupe,Car
Hyundai,Creta,Car
Hyundai,Elantra,Car
Hyundai,Equus,Car
Hyundai,Galloper,Car
Hyundai,Genesis,Car
Hyundai,Getz,Car
Hyundai,Grand Santa Fe,Car
Hyundai,Grand Starex,Car
Hyundai,Grandeur,Car
Hyundai,HD,Truck
Hyundai,H 1,Car
Hyundai,Matrix,Car
Hyundai,NF,Car
Hyundai,Porter,LightCommercialVehicle
Hyundai,Santa Fe,Car
Hyundai,Solaris,Car
Hyundai,Sonata,Car
Hyundai,Starex,Car
Hyundai,Terracan,Car
Hyundai,Tiburon,Car
Hyundai,Tucson,Car
Hyundai,Universe Space,Bus
Hyundai,Veloster,Car
Hyundai,i20,Car
Hyundai,i30,Car
Hyundai,i40,Car
Hyundai,ix35,Car
Hyundai,ix55,Car
Ikarus,250,Bus
Ikarus,256,Bus
Ikarus,260,Bus
Ikarus,280,Bus
Infiniti,FX Series,Car
Infiniti,G Series,Car
Infiniti,JX Series,Car
Infiniti,Q50,Car
Infiniti,Q70 M Series,Car
Infiniti,QX50,Car
Infiniti,QX70,Car
Infiniti,QX80,Car
Infiniti,QX Series,Car
International,9000 Series,Truck
Iran Khodro,Samand,Car
Isuzu,Elf,Truck
Isuzu,F Series,Truck
Isuzu,Forward,Truck
Isuzu,N Series,Truck
Iveco,Daily,LightCommercialVehicle
Iveco,EuroCargo,Truck
Iveco,EuroStar,Truck
Iveco,EuroTech,Truck
Iveco,Stralis,Truck
Iveco,Trakker,Truck
Iveco,TurboDaily,LightCommercialVehicle
Izh,2125,Car
Izh,2126,Car
Izh,21261 Fabula,Car
Izh,2715,Car
Izh,2717,Car
Izh,412,Car
JMC,Carrying,Truck
Jaguar,F Pace,Car
Jaguar,S Type,Car
Jaguar,XE,Car
Jaguar,XF,Car
Jaguar,XJ,Car
Jaguar,XK,Car
Jaguar,XKR,Car
Jaguar,X Type,Car
Jeep,Cherokee,Car
Jeep,Compass,Car
Jeep,Grand Cherokee,Car
Jeep,Wrangler,Car
KAvZ,3976,Bus
KAvZ,4235,Bus
KAvZ,4238,Bus
KIA,Bongo,LightCommercialVehicle
KIA,Carens,Car
KIA,Carnival,Car
KIA,Cerato,Car
KIA,Granbird,Bus
KIA,Magentis,Car
KIA,Mohave,Car
KIA,Opirus,Car
KIA,Optima,Car
KIA,Picanto,Car
KIA,Quoris,Car
KIA,Rio,Car
KIA,Rio X Line,Car
KIA,Sorento,Car
KIA,Soul,Car
KIA,Spectra,Car
KIA,Sportage,Car
KIA,Venga,Car
KIA,ceed,Car
KIA,pro ceed,Car
KamAZ,4308,Truck
KamAZ,4308,Truck
KamAZ,4310,Truck
KamAZ,44108,Truck
KamAZ,4539,Truck
KamAZ,5308,Truck
KamAZ,5410,Truck
KamAZ,5411,Truck
KamAZ,5460,Truck
KamAZ,5490,Truck
KamAZ,551,Truck
KamAZ,5511,Truck
KamAZ,6460,Truck
KamAZ,6511,Truck
KamAZ,6520,Truck
KamAZ,6522,Truck
KamAZ,NefAz 4208,Truck
King Long,XMQ,Bus
Land Rover,Defender,Car
Land Rover,Discovery,Car
Land Rover,Discovery Sport,Car
Land Rover,Freelander,Car
Land Rover,Range Rover,Car
Land Rover,Range Rover Evoque,Car
Land Rover,Range Rover Sport,Car
Lexus,ES,Car
Lexus,GS,Car
Lexus,GX,Car
Lexus,IS,Car
Lexus,LC,Car
Lexus,LS,Car
Lexus,LX,Car
Lexus,NX,Car
Lexus,RX,Car
Lexus,SC,Car
LiAZ,5256,Bus
LiAZ,5292,Bus
LiAZ,5293,Bus
LiAZ,6213,Bus
LiAZ,677,Bus
Lifan,Breez,Car
Lifan,Cebrium,Car
Lifan,Smily,Car
Lifan,Solano,Car
Lifan,X60,Car
MAN,F2000,Truck
MAN,F90,Truck
MAN,L2000,Truck
MAN,Lions Coach,Bus
MAN,Lions Regio,Bus
MAN,TGA,Truck
MAN,TGL,Truck
MAN,TGS,Truck
MAN,TGX,Truck
MAZ,103465,Bus
MAZ,206067,Bus
MAZ,43,Truck
MAZ,53,Truck
MAZ,54,Truck
MAZ,55,Truck
MAZ,63,Truck
MAZ,64,Truck
MAZ,65,Truck
MINI,Countryman,Car
Maserati,Levante,Bus
Mazda,2,Car
Mazda,3,Car
Mazda,323,Car
Mazda,5,Car
Mazda,6,Car
Mazda,626,Car
Mazda,BT 50,Car
Mazda,Bongo,Car
Mazda,Bongo Friendee,Car
Mazda,CX 5,Car
Mazda,CX 7,Car
Mazda,CX 9,Car
Mazda,Capella,Car
Mazda,Demio,Car
Mazda,Familia,Car
Mazda,MPV,Car
Mazda,MX 5,Car
Mazda,Premacy,Car
Mazda,RX 8,Car
Mazda,Titan,Car
Mazda,Tribute,Car
Mercedes Benz,A Klasse,Car
Mercedes Benz,Actros,Truck
Mercedes Benz,Atego,Truck
Mercedes Benz,Axor,Truck
Mercedes Benz,B Klasse,Car
Mercedes Benz,CLA Klasse,Car
Mercedes Benz,CLK Klasse,Car
Mercedes Benz,CLS Klasse,Car
Mercedes Benz,CL Klasse,Car
Mercedes Benz,C Klasse,Car
Mercedes Benz,Citan,Car
Mercedes Benz,Conecto,Bus
Mercedes Benz,E Klasse,Car
Mercedes Benz,GLA Klasse,Car
Mercedes Benz,GLC Klasse,Car
Mercedes Benz,GLE Klasse,Car
Mercedes Benz,GLK Klasse,Car
Mercedes Benz,GLS Klasse,Car
Mercedes Benz,GL Klasse,Car
Mercedes Benz,G Klasse,Car
Mercedes Benz,LK Series,Truck
Mercedes Benz,MB Series,LightCommercialVehicle
Mercedes Benz,M Klasse,Car
Mercedes Benz,O303,Bus
Mercedes Benz,O350 Tourismo,Bus
Mercedes Benz,O405,Bus
Mercedes Benz,O560 Intouro,Bus
Mercedes Benz,R Klasse,Car
Mercedes Benz,SK Series,Truck
Mercedes Benz,SLK Klasse,Car
Mercedes Benz,SL Klasse,Car
Mercedes Benz,S Klasse,Car
Mercedes Benz,Sprinter,LightCommercialVehicle
Mercedes Benz,T1,LightCommercialVehicle
Mercedes Benz,T2,LightCommercialVehicle
Mercedes Benz,Travego,Bus
Mercedes Benz,V Klasse,LightCommercialVehicle
Mercedes Benz,Vario,LightCommercialVehicle
Mercedes Benz,Viano,LightCommercialVehicle
Mercedes Benz,Vito,LightCommercialVehicle
Mini,Cooper,Car
Mitsubishi,ASX,Car
Mitsubishi,Airtrek,Car
Mitsubishi,Canter,Truck
Mitsubishi,Carisma,Car
Mitsubishi,Colt,Car
Mitsubishi,Delica,Car
Mitsubishi,Delica Space Gear,Car
Mitsubishi,Eclipse,Car
Mitsubishi,Fuso Canter,Truck
Mitsubishi,Fuso Fighter,Truck
Mitsubishi,Galant,Car
Mitsubishi,Grandis,Car
Mitsubishi,L200,Car
Mitsubishi,Lancer,Car
Mitsubishi,Lancer Cedia,Car
Mitsubishi,Lancer Evolution,Car
Mitsubishi,Outlander,Car
Mitsubishi,Outlander XL,Car
Mitsubishi,Pajero,Car
Mitsubishi,Pajero Sport,Car
Mitsubishi,Pajero iO,Car
Mitsubishi,RVR,Car
Moskvich,2140,Car
Moskvich,2141,Car
Moskvich,408,Car
Moskvich,412,Car
Nefaz,5299,Bus
Neoplan,Cityliner,Bus
Neoplan,Skyliner,Bus
Nissan,AD,Car
Nissan,Almera,Car
Nissan,Almera Classic,Car
Nissan,Atlas,Car
Nissan,Avenir,Car
Nissan,Bluebird,Car
Nissan,Bluebird Sylphy,Car
Nissan,Cedric,Car
Nissan,Cefiro,Car
Nissan,Cube,Car
Nissan,Diesel Condor,LightCommercialVehicle
Nissan,GT R,Car
Nissan,Juke,Car
Nissan,Laurel,Car
Nissan,Liberty,Car
Nissan,March,Car
Nissan,Maxima,Car
Nissan,Maxima QX,Car
Nissan,Micra,Car
Nissan,Murano,Car
Nissan,NP300 Pickup,Car
Nissan,Navara,Car
Nissan,Note,Car
Nissan,Pathfinder,Car
Nissan,Patrol,Car
Nissan,Presage,Car
Nissan,Primera,Car
Nissan,Pulsar,Car
Nissan,Qashqai,Car
Nissan,Qashqai 2,Car
Nissan,Safari,Car
Nissan,Sentra,Car
Nissan,Serena,Car
Nissan,Skyline,Car
Nissan,Sunny,Car
Nissan,Teana,Car
Nissan,Terrano,Car
Nissan,Terrano II,Car
Nissan,Tiida,Car
Nissan,Vanette,Car
Nissan,Wingroad,Car
Nissan,X Trail,Car
Opel,Antara,Car
Opel,Ascona,Car
Opel,Astra,Car
Opel,Calibra,Car
Opel,Combo,Car
Opel,Corsa,Car
Opel,Frontera,Car
Opel,Insignia,Car
Opel,Kadett,Car
Opel,Meriva,Car
Opel,Mokka,Car
Opel,Omega,Car
Opel,Rekord,Car
Opel,Tigra,Car
Opel,Vectra,Car
Opel,Vivaro,LightCommercialVehicle
Opel,Zafira,Car
PAZ,3204,Bus
PAZ,3205,Bus
PAZ,4230 Avrora,Bus
PAZ,4234,Bus
Peugeot,106,Car
Peugeot,107,Car
Peugeot,205,Car
Peugeot,206,Car
Peugeot,207,Car
Peugeot,208,Car
Peugeot,3008,Car
Peugeot,301,Car
Peugeot,306,Car
Peugeot,307,Car
Peugeot,308,Car
Peugeot,4007,Car
Peugeot,405,Car
Peugeot,406,Car
Peugeot,407,Car
Peugeot,408,Car
Peugeot,508,Car
Peugeot,607,Car
Peugeot,Boxer,LightCommercialVehicle
Peugeot,Expert,LightCommercialVehicle
Peugeot,Expert Tepee,LightCommercialVehicle
Peugeot,Partner,Car
Porsche,911,Car
Porsche,Boxster,Car
Porsche,Cayenne,Car
Porsche,Cayman,Car
Porsche,Macan,Car
Porsche,Panamera,Car
Ram,Pickup,Car
Ravon,Nexia,Car
Ravon,Nexia R3,Car
Renault,19,Car
Renault,21,Car
Renault,Clio,Car
Renault,Duster,Car
Renault,Espace,Car
Renault,Fluence,Car
Renault,Grand Scenic,Car
Renault,Kangoo,Car
Renault,Kaptur,Car
Renault,Koleos,Car
Renault,Laguna,Car
Renault,Logan,Car
Renault,Magnum,Truck
Renault,Master,LightCommercialVehicle
Renault,Megane,Car
Renault,Premium,Truck
Renault,Sandero,Car
Renault,Sandero Stepway,Car
Renault,Scenic,Car
Renault,Symbol,Car
Renault,T Series,Truck
Renault,Trafic,LightCommercialVehicle
Renault,Twingo,Car
SAAB,900,Car
SAAB,9000,Car
SAAB,9 3,Car
SAAB,9 5,Car
SEAT,Leon,Car
Saturn,VUE,Car
Scania,G Series,Truck
Scania,III Series,Truck
Scania,IV Series,Truck
Scania,P Series,Truck
Scania,R Series,Truck
Setra,200 Series,Bus
Setra,300 Series,Bus
Shaanxi,SX3250 Series,Truck
Skoda,Fabia,Car
Skoda,Favorit,Car
Skoda,Felicia,Car
Skoda,Kodiaq,Car
Skoda,Octavia,Car
Skoda,Rapid,Car
Skoda,Roomster,Car
Skoda,Superb,Car
Skoda,Yeti,Car
SsangYong,Actyon,Car
SsangYong,Actyon Sports,Car
SsangYong,Istana,Car
SsangYong,Korando,Car
SsangYong,Kyron,Car
SsangYong,Rexton,Car
Subaru,B9 Tribeca,Car
Subaru,Forester,Car
Subaru,Impreza,Car
Subaru,Impreza WRX STi,Car
Subaru,Impreza XV,Car
Subaru,Legacy,Car
Subaru,Outback,Car
Subaru,Tribeca,Car
Subaru,XV,Car
Suzuki,Escudo,Car
Suzuki,Grand Vitara,Car
Suzuki,Ignis,Car
Suzuki,Jimny,Car
Suzuki,Liana,Car
Suzuki,SX4,Car
Suzuki,SX4 S Cross,Car
Suzuki,Swift,Car
Suzuki,Vitara,Car
Suzuki,Wagon R,Car
Toyota,4Runner,Car
Toyota,Allion,Car
Toyota,Alphard,Car
Toyota,Altezza,Car
Toyota,Auris,Car
Toyota,Avalon,Car
Toyota,Avensis,Car
Toyota,Caldina,Car
Toyota,Camry,Car
Toyota,Camry Solara,Car
Toyota,Carina,Car
Toyota,Carina E,Car
Toyota,Carina ED,Car
Toyota,Celica,Car
Toyota,Chaser,Car
Toyota,Corolla,Car
Toyota,Corolla Allex,Car
Toyota,Corolla Axio,Car
Toyota,Corolla Fielder,Car
Toyota,Corolla Levin,Car
Toyota,Corolla Runx,Car
Toyota,Corolla Spacio,Car
Toyota,Corolla Verso,Car
Toyota,Corona,Car
Toyota,Corona Premio,Car
Toyota,Corsa,Car
Toyota,Cresta,Car
Toyota,Crown,Car
Toyota,Dyna,LightCommercialVehicle
Toyota,Estima,Car
Toyota,FJ Cruiser,Car
Toyota,Fortuner,Car
Toyota,Fun Cargo,Car
Toyota,Gaia,Car
Toyota,Harrier,Car
Toyota,Hiace,LightCommercialVehicle
Toyota,Highlander,Car
Toyota,Hilux,Car
Toyota,Hilux Surf,Car
Toyota,Ipsum,Car
Toyota,Ist,Car
Toyota,Kluger,Car
Toyota,Land Cruiser,Car
Toyota,Land Cruiser Prado,Car
Toyota,Lite Ace,Car
Toyota,Lite Ace Noah,Car
Toyota,Mark II,Car
Toyota,Mark X,Car
Toyota,Matrix,Car
Toyota,Nadia,Car
Toyota,Noah,Car
Toyota,Opa,Car
Toyota,Passo,Car
Toyota,Platz,Car
Toyota,Premio,Car
Toyota,Previa,Car
Toyota,Prius,Car
Toyota,Probox,Car
Toyota,RAV4,Car
Toyota,Ractis,Car
Toyota,Raum,Car
Toyota,Sequoia,Car
Toyota,Sienna,Car
Toyota,Sprinter,Car
Toyota,Sprinter Carib,Car
Toyota,Starlet,Car
Toyota,Succeed,Car
Toyota,Supra,Car
Toyota,Town Ace,Car
Toyota,Town Ace Noah,Car
Toyota,Toyo Ace,LightCommercialVehicle
Toyota,Tundra,Car
Toyota,Venza,Car
Toyota,Verso,Car
Toyota,Vista,Car
Toyota,Vista Ardeo,Car
Toyota,Vitz,Car
Toyota,Windom,Car
Toyota,Wish,Car
Toyota,Yaris,Car
Toyota,bB,Car
UAZ,2206,LightCommercialVehicle
UAZ,23632 Pickup,Car
UAZ,3151,Car
UAZ,316,Car
UAZ,3303,LightCommercialVehicle
UAZ,39094,LightCommercialVehicle
UAZ,390995,LightCommercialVehicle
UAZ,3962,LightCommercialVehicle
UAZ,452,LightCommercialVehicle
UAZ,469,Car
UAZ,Profi,LightCommercialVehicle
Ural,4320,Truck
Ural,5557,Truck
VAZ Lada,2101,Car
VAZ Lada,2102,Car
VAZ Lada,2103,Car
VAZ Lada,2104,Car
VAZ Lada,2105,Car
VAZ Lada,2106,Car
VAZ Lada,2107,Car
VAZ Lada,2108,Car
VAZ Lada,2109,Car
VAZ Lada,21099,Car
VAZ Lada,2110,Car
VAZ Lada,2111,Car
VAZ Lada,2112,Car
VAZ Lada,2112 Coupe,Car
VAZ Lada,2113,Car
VAZ Lada,2114,Car
VAZ Lada,2115,Car
VAZ Lada,2120 Nadezhda,Car
VAZ Lada,2120 Nadezhda,Car
VAZ Lada,Granta,Car
VAZ Lada,Kalina,Car
VAZ Lada,Kalina Cross,Car
VAZ Lada,Largus,Car
VAZ Lada,Niva,Car
VAZ Lada,Oka,Car
VAZ Lada,Priora,Car
VAZ Lada,Vesta,Car
VAZ Lada,Vesta SW,Car
VAZ Lada,Vesta SW Cross,Car
VAZ Lada,XRAY,Car
VIS,2347,Car
VIS,234700,Car
VIS,2349,Car
VIS,234900,Car
Van Hool,T815,Bus
Volkswagen,Amarok,Car
Volkswagen,Bora,Car
Volkswagen,Caddy,Car
Volkswagen,Caravelle,LightCommercialVehicle
Volkswagen,Crafter,LightCommercialVehicle
Volkswagen,Golf,Car
Volkswagen,Golf Plus,Car
Volkswagen,Jetta,Car
Volkswagen,LT,LightCommercialVehicle
Volkswagen,Multivan,Car
Volkswagen,New Beetle,Car
Volkswagen,Passat,Car
Volkswagen,Passat Alltrack,Car
Volkswagen,Passat CC,Car
Volkswagen,Phaeton,Car
Volkswagen,Polo,Car
Volkswagen,Scirocco,Car
Volkswagen,Sharan,Car
Volkswagen,Teramont,Car
Volkswagen,Tiguan,Car
Volkswagen,Touareg,Car
Volkswagen,Touran,Car
Volkswagen,Transporter,LightCommercialVehicle
Volvo,240 Series,Car
Volvo,740,Car
Volvo,850,Car
Volvo,940,Car
Volvo,C30,Car
Volvo,F12,Truck
Volvo,FE,Truck
Volvo,FH,Truck
Volvo,FL,Truck
Volvo,FM,Truck
Volvo,FMX,Truck
Volvo,S40,Car
Volvo,S60,Car
Volvo,S80,Car
Volvo,V40,Car
Volvo,V40 Cross Country,Car
Volvo,V50,Car
Volvo,V70,Car
Volvo,VN Series,Truck
Volvo,XC60,Car
Volvo,XC70,Car
Volvo,XC90,Car
Vortex,Tingo,Car
ZAZ,1102 Tavriya,Car
ZAZ,1103 Slavuta,Car
ZAZ,11055,Car
ZAZ,968,Car
ZAZ,Chance,Car
ZAZ,Lanos,Car
ZAZ,Sens,Car
ZIL,130,Truck
ZIL,131,Truck
ZIL,133,Truck
ZIL,4314,Truck
ZIL,4331,Truck
ZIL,4333,Truck
ZIL,5301 Bychok,Truck
ZIL,MMZ 4502,Truck
ZIL,MMZ 4505,Truck
ZIL,MMZ 45085,Truck
ZIL,MMZ 554,Truck
